# Picco 1, Picco2, Segnale combinato
3.550382587681826863e+02,nan,3.550382587681826863e+02
nan,6.471207761410369130e+02,nan
1.082231940535025387e+03,nan,1.082231940535025387e+03
nan,3.258438280105591502e+02,nan
1.093137232587267590e+03,nan,1.093137232587267590e+03
1.077566756737002379e+03,1.300017011699635759e+03,1.077566756737002379e+03
1.188874728291011706e-02,1.241216690218986969e+03,1.188874728291011706e-02
5.316752460955717652e+01,1.172900762192257389e+03,5.316752460955717652e+01
4.282856916064451980e+01,nan,4.282856916064451980e+01
1.139157695331537752e+03,1.318004359059583066e+03,1.139157695331537752e+03
nan,6.852140338764623948e+02,nan
nan,1.416682248427605373e+02,nan
nan,nan,nan
1.156956417888061424e+03,2.911554696825146493e+01,1.156956417888061424e+03
nan,3.102331216549346209e+02,nan
1.124979427413469011e+03,4.181991769395256142e+02,1.124979427413469011e+03
1.065494378800336335e+03,2.556457678459147473e+02,1.065494378800336335e+03
1.150455616346393754e+03,6.084825969537745323e+02,1.150455616346393754e+03
1.012951498116151356e+03,nan,1.012951498116151356e+03
3.186886093981482873e+02,1.153478535924610014e+03,3.186886093981482873e+02
1.643994897453053454e+02,nan,1.643994897453053454e+02
9.001926170886624732e+02,nan,9.001926170886624732e+02
nan,nan,nan
7.840382273015052306e+01,nan,7.840382273015052306e+01
nan,nan,nan
8.570722517742525497e+02,nan,8.570722517742525497e+02
nan,1.208261162975796424e+03,nan
1.101638879379537457e+03,nan,1.101638879379537457e+03
9.669167662136483159e+02,1.259961672408659069e+03,9.669167662136483159e+02
9.305256887043782399e+02,1.032122225357316211e+03,9.305256887043782399e+02
nan,nan,nan
3.775051130068634393e+02,3.444303885945470256e+02,3.775051130068634393e+02
nan,nan,nan
3.948539762557106769e+02,9.547902336313204614e+02,3.948539762557106769e+02
nan,nan,nan
nan,1.285144226907353641e+03,nan
1.139791381277872006e+03,9.904244878634517590e+01,1.139791381277872006e+03
1.113381113910884551e+03,4.987939170704349863e+02,1.113381113910884551e+03
1.119231549921558326e+03,1.311676270112123802e+03,1.119231549921558326e+03
nan,nan,nan
nan,1.170002650465927218e+03,nan
nan,7.195538618431340865e+02,nan
1.022582744173585411e+03,nan,1.022582744173585411e+03
1.050185552666855983e+03,1.254794003798492668e+03,1.050185552666855983e+03
1.173649672532928889e+01,1.170315378859011389e+03,1.173649672532928889e+01
1.101736936803934896e+03,3.915936819654411920e+02,1.101736936803934896e+03
